ruta,vattendist,namn,strandtyp,kusttyp,urvalsklass,provyta,pyid,exponering,transektlen,transektriktning,easting,northing,longitud,latitud
5520,SE2,Nätrafjärden,block/grus,fastland,02_block/grus,4,20255520004,,2.8,82,687027.2871,7012183.2679,18.7180866226277,63.1900518814401
5520,SE2,Nätrafjärden,strandäng/våtmark,fastland,07_landhöjningsskog,6,20255520006,,5.7,117,687033.2806,7012287.5276,18.7183253903745,63.1909825329922
5520,SE2,Nätrafjärden,klippa/häll,fastland,01_klippstränder,7,20255520007,,4.1,261,686357.6214,7012364.0537,18.7050143038699,63.1920182850346
5521,SE2,N Höga kustens kustvatten,sand,öar,06_dyner,2,20255521002,,22.3,282,695804.3651,7012761.2739,18.8927988120063,63.1905618734761
5525,SE2,Gullviksfjärden sek namn,sand,fastland,06_dyner,1,20255525001,,10.2,331,692217.139,7015246.2092,18.8246129523261,63.2147476150967
5528,SE2,Havsfjärden sek namn,sand,öar,06_dyner,1,20255528001,,6.4,172,696605.2933,7016115.0431,18.9127372125925,63.2201554765892
5551,SE4,V Hanöbuktens kustvatten,sand,fastland,06_dyner,2,20255551002,,28,285,450788.655,6186093.8837,14.214628986411,55.8179198549394
5551,SE4,V Hanöbuktens kustvatten,sand,fastland,06_dyner,5,20255551005,,22.7,289,450870.4923,6186418.3165,14.2158762850357,55.8208430095838
5551,SE4,V Hanöbuktens kustvatten,sand,fastland,06_dyner,6,20255551006,,25.4,289,450907.8034,6186547.6077,14.2164483752498,55.8220084031258
5552,SE4,V Hanöbuktens kustvatten,sand,fastland,06_dyner,4,20255552004,,27.3,290,451302.4507,6187847.9244,14.2225136195699,55.8337308851323
5552,SE4,V Hanöbuktens kustvatten,sand,fastland,06_dyner,5,20255552005,,29.5,288,451345.8086,6187967.4217,14.2231843821019,55.8348088640914
5553,SE4,V Hanöbuktens kustvatten,sand,fastland,03_sand,2,20255553002,,26.4,291,451379.4946,6188084.0561,14.2237012834806,55.8358601438477
5553,SE4,V Hanöbuktens kustvatten,sand,fastland,06_dyner,4,20255553004,,28.3,292,451458.4552,6188297.3801,14.2249237539763,55.8377846709254
5553,SE4,V Hanöbuktens kustvatten,sand,fastland,06_dyner,9,20255553009,,28.8,290,451688.2718,6188918.2189,14.2284824729321,55.8433855709274
5554,SE4,V Hanöbuktens kustvatten,sand,fastland,06_dyner,5,20255554005,,26.1,317,455038.5982,6195333.764,14.2809164806561,55.9013493491146
5554,SE4,V Hanöbuktens kustvatten,sand,fastland,06_dyner,6,20255554006,,37,327,455116.4319,6195386.2914,14.2821524770302,55.9018285369475
5555,SE4,V Hanöbuktens kustvatten,sand,fastland,06_dyner,2,20255555002,,12.5,337,456233.669,6196115.997,14.2999014569876,55.9084873619609
5556,SE4,Landöbukten sek namn,sand,fastland,06_dyner,1,20255556001,,16.2,290,458144.3325,6200691.2281,14.3297534087202,55.9497631474611
5556,SE4,Landöbukten sek namn,sand,fastland,06_dyner,2,20255556002,,17.5,294,458199.0564,6200807.4481,14.3306116361005,55.9508120773482
5557,SE4,Landöbukten sek namn,block/grus,fastland,15_strandängsbete,1,20255557001,,42.2,287,461178.12,6201843.9731,14.378164962724,55.9603745839964
5560,SE4,V Hanöbuktens kustvatten,block/grus,fastland,15_strandängsbete,3,20255560003,,35.7,90,475691.5087,6206127.445,14.610240554705,55.9998141241243
5560,SE4,V Hanöbuktens kustvatten,block/grus,fastland,15_strandängsbete,5,20255560005,,13.8,120,475708.4403,6206350.1011,14.610491906297,56.0018154879667
5560,SE4,V Hanöbuktens kustvatten,block/grus,fastland,02_block/grus,7,20255560007,,5.8,65,475725.1578,6206559.5849,14.6107410400138,56.0036984902666
5560,SE4,V Hanöbuktens kustvatten,block/grus,fastland,15_strandängsbete,8,20255560008,,89.5,134,475732.4248,6206682.0502,14.6108465086739,56.0047991757577
5560,SE4,V Hanöbuktens kustvatten,block/grus,fastland,15_strandängsbete,10,20255560010,,8.7,102,475739.3551,6206825.3236,14.6109447052976,56.0060867990685
5560,SE4,V Hanöbuktens kustvatten,block/grus,fastland,15_strandängsbete,12,20255560012,,10,96,475736.1022,6206847.2385,14.6108905628062,56.0062835339355
5560,SE4,V Hanöbuktens kustvatten,konstruerad,fastland,05_konstruerad,13,20255560013,,6.1,115,475738.6451,6206894.6342,14.6109270619268,56.0067095000371
5621,SE2,N M Bottenhavets kustvatten,block/grus,fastland,06_dyner,1,20255621001,,13.7,315,626734.8742,6875466.0673,17.4192887061469,61.990333614334
5627,SE2,N M Bottenhavets kustvatten,block/grus,fastland,02_block/grus,6,20255627006,,16.9,40,628670.8109,6880048.8454,17.4595189693143,62.0307807935355
5627,SE2,N M Bottenhavets kustvatten,klippa/häll,skär,09_skär,18,20255627018,,9.6,87,628867.0354,6880220.9756,17.4633905337015,62.0322576880972
5627,SE2,N M Bottenhavets kustvatten,sand,fastland,14_strandäng,19,20255627019,,36.5,269,628465.8745,6880234.4402,17.4557401509356,62.0325149304708
5627,SE2,N M Bottenhavets kustvatten,block/grus,fastland,07_landhöjningsskog,23,20255627023,,7.7,54,628552.1858,6880264.5169,17.4574100374627,62.0327553365457
5629,SE2,N M Bottenhavets kustvatten,block/grus,fastland,02_block/grus,1,20255629001,,12.2,214,628067.1823,6882947.0636,17.4500847931879,62.0569778321689
5630,SE2,N M Bottenhavets kustvatten,sand,fastland,06_dyner,1,20255630001,,30,3,627211.4319,6883956.0494,17.4344550635877,62.0663159490221
5632,SE2,N M Bottenhavets kustvatten,sand,fastland,06_dyner,3,20255632003,,41.1,282,628375.0946,6885802.3005,17.458038588149,62.0824797582504
5718,SE1,Simpan,block/grus,fastland,02_block/grus,4,20255718004,,14.2,234,795913.0778,7184526.7597,21.2030562229751,64.65522378821
5718,SE1,Simpan,strandäng/våtmark,fastland,04_strandäng/våtmark,6,20255718006,,5.3,225,795880.786,7184549.9068,21.2024314251849,64.6554585703046
5718,SE1,Simpan,block/grus,fastland,07_landhöjningsskog,8,20255718008,,7.2,235,795770.5298,7184692.8804,21.2004287293863,64.6568305816797
5721,SE1,Hålfjärden,block/grus,öar,02_block/grus,15,20255721015,,5.9,329,799332.8833,7189336.7151,21.2841891898079,64.695111735973
5721,SE1,Hålfjärden,block/grus,skär,07_landhöjningsskog,40,20255721040,,21.6,244,799458.5828,7189892.0999,21.2879619582719,64.6999536721391
5722,SE1,Hålfjärden,block/grus,öar,07_landhöjningsskog,4,20255722004,,11,210,798192.307,7191716.9298,21.265341710064,64.7173531431507
5957,SE4,Svensksundsviken,strandäng/våtmark,fastland,15_strandängsbete,8,20255957008,,130.5,63,582967.5436,6495595.8695,16.42736448923,58.592820272639
5957,SE4,Svensksundsviken,strandäng/våtmark,fastland,15_strandängsbete,9,20255957009,,13.1,180,582487.8455,6495610.085,16.4191199110603,58.5930392352784
5963,SE4,Motala Ström,konstruerad,fastland,05_konstruerad,4,20255963004,,3.3,83,569092.1155,6499160.0447,16.189805232317,58.6272518909209
5963,SE4,Motala Ström,strandäng/våtmark,fastland,10_vasstrand,9,20255963009,,4.4,116,568946.5803,6499627.7249,16.1874421522699,58.6314744500209
5963,SE4,Motala Ström,strandäng/våtmark,fastland,04_strandäng/våtmark,11,20255963011,,27,174,569064.7287,6499697.8303,16.1894978749754,58.6320851505162
5982,SE3,Askrikefjärden,sand,öar,03_sand,1,20255982001,,6.7,345,683697.7584,6585073.7959,18.2324169282406,59.3642577317696
5982,SE3,Askrikefjärden,block/grus,öar,02_block/grus,3,20255982003,,2.6,20,683570.8134,6585083.9653,18.2301959482497,59.36440419794
5984,SE3,Lilla Värtan,klippa/häll,fastland,08_havsklippa,17,20255984017,,2.7,45,673527.9828,6586282.6106,18.0547444143621,59.3794061918943
5984,SE3,Lilla Värtan,klippa/häll,fastland,01_klippstränder,18,20255984018,,2,56,673470.9258,6586326.1343,18.0537767699042,59.3798199780415
5985,SE3,Lilla Värtan,sand,öar,03_sand,11,20255985011,,2.2,8,675985.2707,6586444.45,18.0980615247326,59.3798382979511
5985,SE3,Lilla Värtan,block/grus,öar,10_vasstrand,12,20255985012,,3.4,358,675956.8482,6586445.336,18.0975627459639,59.3798581126297
5985,SE3,Lilla Värtan,block/grus,fastland,02_block/grus,17,20255985017,,6,240,675131.2327,6586698.6479,18.0832593637677,59.3824735517501
5985,SE3,Lilla Värtan,klippa/häll,öar,01_klippstränder,18,20255985018,,2.6,85,675724.7209,6586774.8622,18.0937526358346,59.3829098518439
5985,SE3,Lilla Värtan,konstruerad,fastland,05_konstruerad,23,20255985023,,NA,NA,675158.975,6586964.9404,18.0839639686866,59.3848498909293
5986,SE3,Lilla Värtan,block/grus,öar,10_vasstrand,7,20255986007,,3.7,78,676086.1182,6587288.8804,18.1005256319202,59.3873681427932
5986,SE3,Stora Värtan,klippa/häll,öar,01_klippstränder,14,20255986014,,2.7,218,675974.3444,6587469.0327,18.0987084007014,59.3890302722031
5986,SE3,Stora Värtan,block/grus,öar,02_block/grus,15,20255986015,,1.8,129,675921.2023,6587475.9042,18.0977798423077,59.3891140873607
5986,SE3,Lilla Värtan,konstruerad,fastland,05_konstruerad,17,20255986017,,NA,NA,675151.2461,6587513.7588,18.0842754615616,59.3897744110046
5986,SE3,Stora Värtan,block/grus,skär,09_skär,18,20255986018,,2.6,357,675888.5137,6587531.3073,18.0972505636109,59.3896245373153
5986,SE3,Stora Värtan,klippa/häll,öar,08_havsklippa,27,20255986027,,1.2,330,676120.9828,6587647.1083,18.101432127082,59.3905657776924
5986,SE3,Stora Värtan,sand,fastland,03_sand,34,20255986034,,4.5,359,675620.9232,6587845.5054,18.0928033470698,59.3925536153678
5995,SE3,Kyrkfjärden,klippa/häll,fastland,08_havsklippa,2,20255995002,,1.5,82,681432.5276,6592330.0184,18.1987603065382,59.4302987635994
5995,SE3,Kyrkfjärden,strandäng/våtmark,fastland,10_vasstrand,3,20255995003,,3.3,268,681272.0428,6592364.859,18.1959654573209,59.4306803561573
5996,SE3,Stora Värtan,strandäng/våtmark,fastland,14_strandäng,4,20255996004,,50.3,322,678379.833,6594242.7326,18.1466280737442,59.4487551227423
6100,SE4,Gotskasandöns s kustvatten,sand,öar,06_dyner,1,20256100001,,8.6,334,749144.9347,6474013.2576,19.2566946953445,58.3361015867759
6100,SE4,Gotskasandöns s kustvatten,block/grus,öar,06_dyner,2,20256100002,,10.4,336,749372.1924,6474106.4653,19.260665767775,58.3368074150283
6100,SE4,Gotskasandöns s kustvatten,block/grus,öar,06_dyner,9,20256100009,,13.4,345,749933.0544,6474280.8825,19.2704066533161,58.338050705706
6100,SE4,Gotskasandöns s kustvatten,block/grus,öar,06_dyner,10,20256100010,,16.9,350,750037.5969,6474297.134,19.272204780962,58.3381367400371
6101,SE4,Gotskasandöns s kustvatten,sand,öar,06_dyner,5,20256101005,,53,292,751564.0278,6475592.3883,19.2996133742804,58.3488654747232
6101,SE4,Gotskasandöns s kustvatten,sand,öar,06_dyner,6,20256101006,,39.3,299,751619.4848,6475749.0422,19.3007290005289,58.3502367153895
6101,SE4,Gotskasandöns s kustvatten,sand,öar,06_dyner,7,20256101007,,51.2,302,751667.8379,6475829.6682,19.3016407395202,58.3509310948855
6102,SE4,Gotskasandöns s kustvatten,block/grus,öar,06_dyner,5,20256102005,,11.5,318,752820.1262,6477339.8422,19.3229277362169,58.3637938732045
6102,SE4,Gotskasandöns n kustvatten,sand,öar,06_dyner,10,20256102010,,19.2,212,752690.0275,6477678.2189,19.3210814793809,58.3668993436953
6103,SE4,Gotskasandöns v kustvatten,sand,öar,06_dyner,1,20256103001,,39.5,95,744106.7841,6479960.1616,19.1771808084866,58.3922022131659
