tabell,vernacular_name,scientific_name,taxon_id,family,phylum,registrering
trad,skogslönn,Acer platanoides,223315,Aceraceae,Tracheophyta,
arter,madrör,Calamagrostis neglecta,222273,Poaceae,Tracheophyta,
arter,malört,Artemisia absinthium,219958,Asteraceae,Tracheophyta,
arter,marrisp,Limonium vulgare,978,Plumbaginaceae,Tracheophyta,
arter,martorn,Eryngium maritimum,624,Apiaceae,Tracheophyta,r
arter,marviol,Cakile maritima,220449,Brassicaceae,Tracheophyta,r
arter,mjölon,Arctostaphylos uva-ursi,221078,Ericaceae,Tracheophyta,
buskar,murgröna,Hedera helix,219677,Araliaceae,Tracheophyta,
buskar,måbär,Ribes alpinum,223362,Rosaceae,Tracheophyta,
arter,navellavar,Umbilicaria,1008184,Lavar,Ascomycota,
arter,nordbaldersbrå,Tripleurospermum maritimum subsp. subpolare,223801,Asteraceae,Tracheophyta,
arter,nordgröe,Poa pratensis subsp. alpigena,224825,Poaceae,Tracheophyta,
arter,nordkråkbär,Empetrum nigrum subsp. hermaphroditum,224096,Ericaceae,Tracheophyta,
buskar,olvon,Viburnum opulus,221587,Caprifoliaceae,Tracheophyta,
arter,orangelavar,Caloplaca s lat.,6008400,Lavar,Ascomycota,
arter,ormax,Parapholis strigosa,1160,Poaceae,Tracheophyta,
arter,ormtunga,Ophioglossum vulgatum,220261,Polypodiaceae,Tracheophyta,
arter,ostronört,Mertensia maritima,1039,Boraginaceae,Tracheophyta,
buskar,oxbär,Cotoneaster,1006564,Rosaceae,Tracheophyta,
trad,oxlar,Sorbus,1006586,Rosaceae,Tracheophyta,
arter,parkslide,Reynoutria japonica,220782,Polygonaceae,Tracheophyta,
trad,pilar,Salix alba agg.,249053,Saliceae,Tracheophyta,
arter,pilört,Persicaria lapathifolia,220839,Polygonaceae,Tracheophyta,
arter,plattsäv,Blysmus compressus,222738,Cyperaceae,Tracheophyta,
trad,krikon/plommon,Prunus domestica,223079,Rosaceae,Tracheophyta,
buskar,pors,Myrica gale,222859,Myricaceae,Tracheophyta,
trad,päron,Pyrus communis,223091,Rosaceae,Tracheophyta,
arter,renfana,Tanacetum vulgare,220346,Asteraceae,Tracheophyta,t
arter,revigt saltgräs,Puccinellia maritima,222648,Poaceae,Tracheophyta,
buskar,rip/ull/lappvide,Salix,6042282,Salicaceae,Tracheophyta,
arter,rosenrot,Rhodiola rosea,223359,Crassulaceae,Tracheophyta,
arter,rosettlavar,Physcia,1008058,Lavar,Ascomycota,
buskar,rosor,Rosa,1006580,Rosaceae,Tracheophyta,
arter,rundsileshår,Drosera rotundifolia,220773,Droseraceae,Tracheophyta,
arter,ryl,Chimaphila umbellata,340,Ericaceae,Tracheophyta,
arter,rödblära,Silene dioica,220927,Caryophyllaceae,Tracheophyta,
arter,rödplister,Lamium purpureum,221677,Lamiaceae,Tracheophyta,
arter,rödsvingel,Festuca rubra,222482,Poaceae,Tracheophyta,
arter,rödsäv,Blysmus rufus,222237,Cyperaceae,Tracheophyta,
arter,rödven,Agrostis capillaris,222188,Poaceae,Tracheophyta,
arter,röllika,Achillea millefolium,219906,Asteraceae,Tracheophyta,
trad,rönn,Sorbus aucuparia,223209,Rosaceae,Tracheophyta,
arter,rörflen,Phalaris arundinacea,222606,Poaceae,Tracheophyta,
arter,rörsvingel,Schedonorus arundinaceus,222474,Poaceae,Tracheophyta,
arter,saltarv,Honckenya peploides,220801,Caryophyllaceae,Tracheophyta,
arter,saltgräs/grått saltgräs,Puccinellia capillaris agg.,6033621,Poaceae,Tracheophyta,
arter,saltlav,Hydropunctaria maura,230326,Lavar,Ascomycota,T
arter,saltmålla,Halimione pedunculata,753,Papaveraceae,Tracheophyta,
arter,saltnarv,Spergularia marina,220949,Caryophyllaceae,Tracheophyta,
arter,salttåg,Juncus gerardii,222535,Juncaceae,Tracheophyta,
